,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
0,7,1,1,Super Mami,Dinosaurio S.A.,Ar-X,Salsipuedes,E53 1011 None,-31.126667,-64.29525,Super Mami 4,Hipermercado
1,1,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Isidro,Bernardo De Irigoyen 2647,-34.491345,-58.589025,San Isidro,Hipermercado
2,10,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Hurlingham,Av. Vergara 1910,-34.62061,-58.633769,Villa Tesei,Hipermercado
3,11,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Malvinas Argentinas,Av. Arturo Illia 3770,-34.528883,-58.701631000000006,Malvinas Argentinas,Hipermercado
4,112,10,1,Hipermercado Carrefour,Inc S.A.,Ar-A,Salta,20 De Febrero 37,-24.789072,-65.413699,Salta,Hipermercado
5,12,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Justo,Av. Don Bosco 2680,-34.664628,-58.59735600000001,San Justo,Hipermercado
6,123,10,1,Hipermercado Carrefour,Inc S.A.,Ar-J,San Juan,Gral. Acha 32,-31.534016,-68.524744,San Juan,Supermercado
7,128,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Comodoro Rivadavia,Pellegrini 851,-45.861562,-67.479968,Comodoro Rivadavia,Hipermercado
8,136,10,1,Hipermercado Carrefour,Inc S.A.,Ar-R,General Roca,25 De Mayo 622,-39.030326,-67.573775,General Roca,Supermercado
9,139,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Olavarria,Rivadavia 2846,-36.893694,-60.32165,Olavarria,Hipermercado
10,142,10,1,Hipermercado Carrefour,Inc S.A.,Ar-V,Rio Grande,Av. San Martin 685,-53.785009,-67.70299,Rio Grande,Supermercado
11,147,10,1,Hipermercado Carrefour,Inc S.A.,Ar-L,Santa Rosa,Avellaneda 151,-36.618338,-64.291249,Santa Rosa,Hipermercado
12,149,10,1,Hipermercado Carrefour,Inc S.A.,Ar-R,Bariloche,Moreno 909,-41.136201,-71.29679200000002,Bariloche,Hipermercado
13,15,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Martin,Av. San Martin 420,-34.586322,-58.519449,San Martin,Hipermercado
14,156,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Nicolas,Bartolome Mitre 264,-33.331816,-60.220188,San Nicolas,Hipermercado
15,157,10,1,Hipermercado Carrefour,Inc S.A.,Ar-Q,Neuquen,Av. Coronel Olascoaga 350,-38.958858,-68.058932,Neuquen,Hipermercado
16,159,10,1,Hipermercado Carrefour,Inc S.A.,Ar-W,Corrientes,Av. Ferre 2985,-27.477092,-58.815872,Corrientes,Hipermercado
17,16,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Monte Grande,Camino De Cintura 2200,-34.780839,-58.457944,Monte Grande,Hipermercado
18,161,10,1,Hipermercado Carrefour,Inc S.A.,Ar-V,Ushuaia,12 De Octubre 169,-54.815339,-68.334293,Ushuaia,Hipermercado
19,162,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Trelew,Soberania Nacional 140,-43.257504,-65.305489,Trelew,Hipermercado
20,17,10,1,Hipermercado Carrefour,Inc S.A.,Ar-M,Guaymallen,Av. Acceso Este Lateral Sur None,-32.908234,-68.789274,Mendoza Guaymallen,Hipermercado
21,171,10,1,Hipermercado Carrefour,Inc S.A.,Ar-A,Salta,Av. Bicentenario Batalla De Salta 702,-24.781285,-65.401667,Salta Iii,Hipermercado
22,175,10,1,Hipermercado Carrefour,Inc S.A.,Ar-A,Salta,Av. Entre Rios 1816,-24.779652,-65.427437,Salta Vii,Hipermercado
23,178,10,1,Hipermercado Carrefour,Inc S.A.,Ar-K,San Fernando Del Valle De Catamarca,Hipolito Yrigoyen 1283,-28.477093,-65.778283,Catamarca,Supermercado
24,179,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Puerto Madryn,Gales 1315,-42.775492,-65.048586,Puerto Madryn,Hipermercado
25,18,10,1,Hipermercado Carrefour,Inc S.A.,Ar-S,Rosario,Av. Circunvalacion None,-32.904529,-60.727936,Rosario Fisherton,Hipermercado
26,180,10,1,Hipermercado Carrefour,Inc S.A.,Ar-V,Rio Grande,Peru 76,-53.774139,-67.721621,Rio Grande Ii,Hipermercado
27,183,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Maschwitz,Juan Bautista Alberdi 555,-34.395346999999994,-58.738836,Maschwitz,Hipermercado
28,2,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Vicente Lopez,Av. Del Libertador 215,-34.532302,-58.468176,Vicente Lopez,Hipermercado
29,204,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Olivos,Gob. Ugarte 1980,-34.516305,-58.494552,Ugarte,Hipermercado
30,21,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Moreno,Av. Gaona Y Graham Bell None,-34.633337,-58.764283,Moreno,Hipermercado
31,210,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Zarate,Av. Lavalle 1879,-34.113271999999995,-59.020315,Zarate,Hipermercado
32,214,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Jose Pedro Varela 4750,-34.610359,-58.516538,Villa Devoto,Hipermercado
33,217,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Miguel,Av. Pdte. J. D. Peron 111,-34.553106,-58.69825600000001,Bella Vista,Hipermercado
34,219,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Donato Alvarez 1351,-34.611087,-58.460584,Caballito,Hipermercado
35,22,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Mar Del Plata,Av. Constitucion 7598,-37.953878,-57.579192000000006,Mar Del Plata,Hipermercado
36,220,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Roosevelt 5749,-34.577205,-58.494765,Villa Urquiza,Hipermercado
37,227,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Bernal,Av. Dardo Rocha 849,-34.715471,-58.298863,Bernal,Hipermercado
38,229,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Pergamino,Santiago Del Estero 1351,-33.900993,-60.55175500000001,Pergamino,Hipermercado
39,23,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Adrogue,Hipolito Yrigoyen 13500,-34.812068,-58.39941700000001,Adrogue,Hipermercado
40,231,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Lomas De Zamora,Oliden 450,-34.768774,-58.411275,Lomas De Zamora,Hipermercado
41,232,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Campana,Colectora Norte 1647,-34.18654,-58.945418,Campana Ii,Hipermercado
42,233,10,1,Hipermercado Carrefour,Inc S.A.,Ar-E,Concordia,Av. Eva Peron 2250,-31.368882,-58.011377,Concordia,Hipermercado
43,234,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Don Torcuato,Av. Angel T. De Alvear 1960,-34.491603000000005,-58.62767,Don Torcuato,Hipermercado
44,235,10,1,Hipermercado Carrefour,Inc S.A.,Ar-D,Villa Mercedes,Av. 25 De Mayo 876,-33.675929,-65.469225,Villa Mercedes,Hipermercado
45,239,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,General Pacheco,Boulogne Sur Mer 301,-34.46134,-58.629233,Gral. Pacheco,Hipermercado
46,24,10,1,Hipermercado Carrefour,Inc S.A.,Ar-X,Jardin Espinoza,Av. O'Higgins 3765,-31.455534000000004,-64.166095,Cordoba Jardin,Hipermercado
47,240,10,1,Hipermercado Carrefour,Inc S.A.,Ar-E,Gualeguaychu,Av. Primera Junta None,-32.991736,-58.521853,Gualeguaychu,Hipermercado
48,241,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Lujan,Av. Pellegrini 1050,-34.561648,-59.103745,Lujan,Hipermercado
49,25,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,San Fernando,Ruta 202 None,-34.453587,-58.57552800000001,San Fernando,Hipermercado
50,259,10,1,Hipermercado Carrefour,Inc S.A.,Ar-S,Venado Tuerto,Bvard. 12 De Octubre 1060,-33.744187,-61.982983,Venado Tuerto,Hipermercado
51,26,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Warnes 2707,-34.595836,-58.473941,Warnes,Hipermercado
52,268,10,1,Hipermercado Carrefour,Inc S.A.,Ar-S,Rosario,Pueyrredon 747,-32.942435,-60.657028,Rosario Pueyrredon,Hipermercado
53,271,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Monroe 1655,-34.55398,-58.452838,Belgrano,Hipermercado
54,28,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Pilar,Av. Lagomarsino 905,-34.454933000000004,-58.894408,Pilar,Hipermercado
55,29,10,1,Hipermercado Carrefour,Inc S.A.,Ar-M,Mendoza,Las Heras 798,-32.885049,-68.848197,Mendoza Azul Centro,Hipermercado
56,292,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Comodoro Rivadavia,Av. Polonia 1340,-45.870032,-67.532667,Comodoro Rivadavia Polonia,Hipermercado
57,294,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Ituzaingo,Blas Parera 650,-34.665048,-58.66264,Ituzaingo Ii,Hipermercado
58,297,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,General Rodriguez,Bernardo De Irigoyen 1500,-34.611076000000004,-58.941293,Gral. Rodriguez,Supermercado
59,30,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Gral. Paz 12950,-34.663863,-58.514126,Mataderos,Hipermercado
60,31,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Tandil,Panama 351,-37.324111,-59.11456800000001,Tandil,Hipermercado
61,32,10,1,Hipermercado Carrefour,Inc S.A.,Ar-S,Rosario,C. Pellegrini 3250,-32.951846999999994,-60.670442,Rosario Centro,Hipermercado
62,33,10,1,Hipermercado Carrefour,Inc S.A.,Ar-S,Rosario,Necochea 2579,-32.970122,-60.62856,Rosario Sur,Hipermercado
63,36,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Ituzaingo,Av. Ing. Ratti 1860,-34.647756,-58.688217,Ituzaingo,Hipermercado
64,40,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Temperley,Av. Eva Peron 2679,-34.763559,-58.36439100000001,Temperley,Hipermercado
65,41,10,1,Hipermercado Carrefour,Inc S.A.,Ar-S,Rosario,Eva Peron 5856,-32.934019,-60.702038,Rosario Village,Supermercado
66,42,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Merlo,Av. Argentina 1915,-34.679311,-58.72799200000001,Merlo,Hipermercado
67,43,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Haedo,Dr. Luis Guemes 369,-34.638763,-58.581518,Haedo,Hipermercado
68,44,10,1,Hipermercado Carrefour,Inc S.A.,Ar-H,Resistencia,Av. Avalos None,-27.4388,-58.987383,Resistencia Ii,Hipermercado
69,45,10,1,Hipermercado Carrefour,Inc S.A.,Ar-U,Trelew,25 De Mayo 1665,-43.258861,-65.329062,Trelew Iii,Supermercado
70,46,10,1,Hipermercado Carrefour,Inc S.A.,Ar-T,San Miguel De Tucuman,Av. Catamarca 1116,-26.814605,-65.209515,Tucuman Iii,Hipermercado
71,47,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Martin Coronado,Av. Pdte. J. D. Peron 7055,-34.587243,-58.593697,Martin Coronado,Hipermercado
72,48,10,1,Hipermercado Carrefour,Inc S.A.,Ar-Z,Rio Gallegos,Paseo De Los Arrieros 1098,-51.62821,-69.24676099999999,Rio Gallegos Ii,Hipermercado
73,49,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Florencio Varela,Av. Gral. Jose De San Martin 554,-34.779585,-58.279265,Florencio Varela,Hipermercado
74,5,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Alvarez Jonte 6383,-34.633237,-58.521966000000006,Velez Sarsfield,Hipermercado
75,50,10,1,Hipermercado Carrefour,Inc S.A.,Ar-X,Quintas De Arguello,Recta Martinolli 7850,-31.346646000000003,-64.269297,Cordoba Recta Martinolli,Hipermercado
76,51,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Tigre,Santa Maria De Las Conchas 4500,-34.406164000000004,-58.619971,Rincon De Milberg,Hipermercado
77,52,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Lomas De Zamora,Las Heras 1163,-34.748145,-58.411227,Banfield,Hipermercado
78,53,10,1,Hipermercado Carrefour,Inc S.A.,Ar-Q,Neuquen,Antartida Argentina 3600,-38.94682,-68.110433,Neuquen Antartida Argentina,Hipermercado
79,54,10,1,Hipermercado Carrefour,Inc S.A.,Ar-X,Villa Allende Lomas,Av. Rio De Janeiro 1787,-31.300019,-64.276462,Cordoba Villa Allende,Hipermercado
80,55,10,1,Hipermercado Carrefour,Inc S.A.,Ar-P,Formosa,Av. Gustnisky 2040,-26.190381,-58.187564,Formosa La Rural,Hipermercado
81,56,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Glew,Av. Hipolito Yrigoyen 20260,-34.883091,-58.38823000000001,Glew,Hipermercado
82,57,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Tandil,Av. Del Valle 324,-37.31454,-59.147927,Tandil Iii,Hipermercado
83,58,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Balcarce,Av. San Martin 405,-37.833135,-58.237878,Balcarce,Hipermercado
84,6,10,1,Hipermercado Carrefour,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Jeronimo Salguero 3212,-34.574635,-58.403801,Salguero,Hipermercado
85,63,10,1,Hipermercado Carrefour,Inc S.A.,Ar-Z,Santa Cruz,Humberto Beghin 762,-46.444906,-67.533789,Caleta Olivia,Hipermercado
86,7,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,Quilmes,Av. La Plata 1400,-34.735911,-58.277988,Quilmes,Hipermercado
87,8,10,1,Hipermercado Carrefour,Inc S.A.,Ar-B,La Plata,Camino Gral. Belgrano None,-34.893654999999995,-57.996156000000006,La Plata,Hipermercado
88,9,10,1,Hipermercado Carrefour,Inc S.A.,Ar-X,Villa Urquiza,Av. Colon 4880,-31.393915000000003,-64.242835,Cordoba Colon,Hipermercado
89,101,10,2,Market,Inc S.A.,Ar-B,Avellaneda,Av. Belgrano 422,-34.661465,-58.368212,Avellaneda Ii,Supermercado
90,109,10,2,Market,Inc S.A.,Ar-B,La Plata,Calle 7 767,-34.913497,-57.951821,La Plata I,Supermercado
91,110,10,2,Market,Inc S.A.,Ar-W,Corrientes,Junin 1336,-27.467798,-58.83402099999999,Corrientes Junin,Hipermercado
92,114,10,2,Market,Inc S.A.,Ar-B,Bahia Blanca,Brown 51,-38.72041,-62.26794200000001,Bahia Blanca I,Supermercado
93,115,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Rivadavia 6538,-34.627423,-58.45817,Flores,Supermercado
94,116,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Santa Fe 1954,-34.595813,-58.395425,Av. Santa Fe 1954,Supermercado
95,118,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Vicente Lopez 1676,-34.591951,-58.389726,Vicente Lopez 1676,Hipermercado
96,119,10,2,Market,Inc S.A.,Ar-X,Rio Cuarto,Sobremonte 902,-33.125271000000005,-64.349014,Rio Cuarto,Supermercado
97,120,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Cabildo 2441,-34.558821,-58.459349,Belgrano Cabildo,Supermercado
98,122,10,2,Market,Inc S.A.,Ar-Y,Jujuy,Belgrano 823,-24.185348,-65.304604,Jujuy,Hipermercado
99,125,10,2,Market,Inc S.A.,Ar-E,Parana,Uruguay 35,-31.730408,-60.528649,Parana Uruguay,Supermercado
100,130,10,2,Market,Inc S.A.,Ar-B,Mar Del Plata,Catamarca 1965,-37.998923,-57.553648,Mar Del Plata Centro,Supermercado
101,132,10,2,Market,Inc S.A.,Ar-K,San Fernando Del Valle De Catamarca,Rivadavia 945,-28.472753000000004,-65.77843399999999,Catamarca Ii,Supermercado
102,134,10,2,Market,Inc S.A.,Ar-B,Tandil,9 De Julio 548,-37.326474,-59.135087,Tandil Ii,Supermercado
103,135,10,2,Market,Inc S.A.,Ar-F,La Rioja,25 De Mayo 151,-29.411481,-66.856755,La Rioja,Supermercado
104,137,10,2,Market,Inc S.A.,Ar-D,San Luis,Pringles 963,-33.302748,-66.336848,San Luis,Supermercado
105,138,10,2,Market,Inc S.A.,Ar-E,Concordia,Entre Rios 635,-31.396866,-58.01860300000001,Concordia Ii,Supermercado
106,141,10,2,Market,Inc S.A.,Ar-P,Formosa,España 198,-26.18141,-58.166895,Formosa,Hipermercado
107,143,10,2,Market,Inc S.A.,Ar-Z,Rio Gallegos,Av. Dr. Nestor Kirchner 742,-51.62268,-69.21284,Rio Gallegos,Hipermercado
108,144,10,2,Market,Inc S.A.,Ar-B,La Plata,Calle 12 1200,-34.923010999999995,-57.94993100000001,La Plata Ii,Supermercado
109,146,10,2,Market,Inc S.A.,Ar-U,Trelew,9 De Julio 194,-43.251438,-65.30959200000001,Trelew Ii,Supermercado
110,148,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Rivadavia 999,-34.608259000000004,-58.38053299999999,9 De Julio,Supermercado
111,150,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Santa Fe 3368,-34.587468,-58.412707,Vidt,Supermercado
112,151,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Rivadavia 2243,-34.609491,-58.398323,Uriburu,Supermercado
113,154,10,2,Market,Inc S.A.,Ar-B,Lanus,Av. Hipolito Yrigoyen 4435,-34.706014,-58.3919,Lanus,Supermercado
114,165,10,2,Market,Inc S.A.,Ar-U,Puerto Madryn,28 De Julio 136,-42.766295,-65.035411,Puerto Madryn Ii,Supermercado
115,167,10,2,Market,Inc S.A.,Ar-Y,Jujuy,Balcarce 408,-24.184117,-65.305676,Jujuy I,Hipermercado
116,168,10,2,Market,Inc S.A.,Ar-Y,Jujuy,Av. 19 De Abril 779,-24.18892,-65.303701,Jujuy Ii,Supermercado
117,176,10,2,Market,Inc S.A.,Ar-T,San Miguel De Tucuman,24 De Septiembre 653,-26.830652,-65.206887,Tucuman I,Supermercado
118,177,10,2,Market,Inc S.A.,Ar-T,San Miguel De Tucuman,San Martin 344,-26.830278000000003,-65.20201,Tucuman Ii,Supermercado
119,181,10,2,Market,Inc S.A.,Ar-E,Parana,Santa Fe 606,-31.722868,-60.529162,Parana Parque,Supermercado
120,182,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Juramento 2971,-34.5651,-58.462056,Juramento,Supermercado
121,184,10,2,Market,Inc S.A.,Ar-L,Santa Rosa,Spinetto 1230,-36.604293,-64.280899,Santa Rosa Ii,Supermercado
122,187,10,2,Market,Inc S.A.,Ar-B,Escobar,Gelves 530,-34.344292,-58.78936899999999,Escobar,Supermercado
123,189,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Corrientes 1160,-34.603902000000005,-58.383077,Av. Corrientes,Supermercado
124,191,10,2,Market,Inc S.A.,Ar-B,Mar Del Plata,Cordoba 1830,-38.000667,-57.547721,Mar Del Plata Iii,Supermercado
125,195,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Olazabal 4734,-34.574379,-58.482128,Olazabal,Supermercado
126,198,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Cabildo 3190,-34.553168,-58.46576999999999,Nuñez,Supermercado
127,201,10,2,Market,Inc S.A.,Ar-B,Carapachay,Independencia 3067,-34.527628,-58.535824,Carapachay,Supermercado
128,202,10,2,Market,Inc S.A.,Ar-B,San Isidro,Av. Juan Segundo Fernandez 1235,-34.480984,-58.553074,San Isidro La Florida,Supermercado
129,203,10,2,Market,Inc S.A.,Ar-B,Chilavert,Lacroze 5910,-34.541198,-58.563095,Chilavert,Supermercado
130,205,10,2,Market,Inc S.A.,Ar-B,Ciudad Jardin Del Palomar,De Los Ceibos 233,-34.603431,-58.592464,Palomar,Supermercado
131,206,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Beruti 2951,-34.590140000000005,-58.405533,Barrio Norte,Hipermercado
132,208,10,2,Market,Inc S.A.,Ar-B,Campana,Av. Mitre 1085,-34.162738,-58.965513,Campana Centro,Supermercado
133,209,10,2,Market,Inc S.A.,Ar-B,Martinez,Av. Del Libertador 13060,-34.49027,-58.484964,Martinez (Libertador),Supermercado
134,211,10,2,Market,Inc S.A.,Ar-B,Martinez,Saenz Valiente 206,-34.487198,-58.505871,Martinez (Italia),Hipermercado
135,212,10,2,Market,Inc S.A.,Ar-B,Villa Ballester,America 4006,-34.55729,-58.550437,Malaver - Villa Ballester,Supermercado
136,215,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Raul Scalabrini Ortiz 3128,-34.58052,-58.410332,Palermo Canning,Supermercado
137,216,10,2,Market,Inc S.A.,Ar-B,Vicente Lopez,Av. Maipu 940,-34.529452,-58.48077900000001,Vicente Lopez - Maipu,Hipermercado
138,218,10,2,Market,Inc S.A.,Ar-B,Hurlingham,Av. Vergara 4121,-34.591972,-58.636447,Hurlingham,Hipermercado
139,221,10,2,Market,Inc S.A.,Ar-B,Tigre,Almirante Brown 371,-34.433161,-58.565723,Tigre,Supermercado
140,226,10,2,Market,Inc S.A.,Ar-B,Martinez,Santa Fe 2349,-34.492689,-58.499192,Martinez (Edison),Supermercado
141,228,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Elcano 3380,-34.575419000000004,-58.45973100000001,Colegiales (Elcano),Hipermercado
142,237,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Nazca 2951,-34.602094,-58.489299,Villa Del Parque,Supermercado
143,243,10,2,Market,Inc S.A.,Ar-E,Parana,San Juan 609,-31.726740000000003,-60.524157,Parana (San Juan),Supermercado
144,244,10,2,Market,Inc S.A.,Ar-E,Parana,Hipolito Yrigoyen 223,-31.737845,-60.52474100000001,Parana (Yrigoyen),Supermercado
145,249,10,2,Market,Inc S.A.,Ar-E,Parana,Av. De Las Americas 1731,-31.748447,-60.52494599999999,Parana (Avenida De Las Americas),Supermercado
146,252,10,2,Market,Inc S.A.,Ar-B,Acassuso,Av. Del Libertador 14893,-34.476587,-58.497758,Acassuso,Supermercado
147,253,10,2,Market,Inc S.A.,Ar-B,Olivos,Av. Maipu 3393,-34.504534,-58.49384300000001,Olivos (Maipu),Supermercado
148,254,10,2,Market,Inc S.A.,Ar-B,San Isidro,Diego Carman 451,-34.495405,-58.545723,San Isidro - D. Carman,Supermercado
149,255,10,2,Market,Inc S.A.,Ar-B,Pergamino,Bvard. Rocha 1352,-33.902945,-60.568849,Pergamino Ii,Supermercado
150,256,10,2,Market,Inc S.A.,Ar-B,San Nicolas,Av. Moreno 10,-33.335962,-60.222474,San Nicolas Ii,Supermercado
151,258,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Mosconi 2861,-34.585933000000004,-58.501809,Villa Pueyrredon,Supermercado
152,262,10,2,Market,Inc S.A.,Ar-E,Parana,Gral. Jose Maria Paz 1303,-31.741747,-60.541261,Parana J M Paz,Supermercado
153,263,10,2,Market,Inc S.A.,Ar-E,Parana,Santos Dominguez 808,-31.754009000000003,-60.511242,Parana Rocamora,Supermercado
154,264,10,2,Market,Inc S.A.,Ar-E,Parana,Mexico 404,-31.725619,-60.53368100000001,Parana (Mexico),Supermercado
155,266,10,2,Market,Inc S.A.,Ar-E,Parana,Av. Don Bosco None,-31.734176,-60.507412,Parana (Don Bosco),Supermercado
156,272,10,2,Market,Inc S.A.,Ar-B,San Fernando,Av. Pdte. Tte. Gral. J. D. Peron 1350,-34.441795,-58.553738,San Fernando Ii,Supermercado
157,277,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Raul Scalabrini Ortiz 1840,-34.589507,-58.422997,Palermo Soler,Supermercado
158,278,10,2,Market,Inc S.A.,Ar-B,Jose Leon Suarez,Rosas 1271,-34.518899,-58.569421,Jose Leon Suarez,Supermercado
159,282,10,2,Market,Inc S.A.,Ar-M,Mendoza,Av. Colon 324,-32.894355,-68.845102,Mendoza Colon,Supermercado
160,283,10,2,Market,Inc S.A.,Ar-M,Mendoza,Av. Las Heras 306,-32.885582,-68.84228,Mendoza Las Heras,Supermercado
161,285,10,2,Market,Inc S.A.,Ar-M,Mendoza,Av. San Martin 1333,-32.888123,-68.838726,Mendoza Tunuyan,Supermercado
162,286,10,2,Market,Inc S.A.,Ar-M,Tupungato,Avenida Belgrano 1170,-33.364039,-69.144079,Mendoza Tupungato,Supermercado
163,287,10,2,Market,Inc S.A.,Ar-M,Mendoza,Suipacha 556,-32.877586,-68.855222,Mendoza Suipacha,Supermercado
164,288,10,2,Market,Inc S.A.,Ar-M,Mendoza,Jorge A. Calle 631,-32.868658,-68.852646,Mendoza Sexta,Supermercado
165,289,10,2,Market,Inc S.A.,Ar-M,Lujan De Cuyo,Azcuenaga 51,-33.036676,-68.878842,Mendoza Lujan De Cuyo,Supermercado
166,290,10,2,Market,Inc S.A.,Ar-M,Godoy Cruz,Beltran 2078,-32.903094,-68.852428,Mendoza Bombal,Supermercado
167,293,10,2,Market,Inc S.A.,Ar-T,San Miguel De Tucuman,25 De Mayo 346,-26.826229,-65.203784,Tucuman Iv,Supermercado
168,295,10,2,Market,Inc S.A.,Ar-X,Alto Verde,Bvard. Granaderos 2906,-31.374529,-64.21385500000001,Cordoba Granaderos,Supermercado
169,296,10,2,Market,Inc S.A.,Ar-B,Olavarria,Av. Del Valle 4379,-36.908071,-60.314098,Olavarria Ii,Supermercado
170,381,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Cordoba 2529,-34.598762,-58.403084,Recoleta Ii,Supermercado
171,384,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Corrientes 5645,-34.595995,-58.44289499999999,Villa Crespo,Supermercado
172,385,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Independencia 456,-34.617218,-58.372441,San Telmo,Supermercado
173,386,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Belgrano 1160,-34.613219,-58.382776,Monserrat,Supermercado
174,387,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Cabildo 4047,-34.546335,-58.470108,Nuñez Ii,Supermercado
175,388,10,2,Market,Inc S.A.,Ar-B,Adrogue,Segui 849,-34.799052,-58.395114,Adrogue,Supermercado
176,389,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Santa Fe 5234,-34.575946,-58.433486,Carranza,Supermercado
177,390,10,2,Market,Inc S.A.,Ar-C,Ciudad Autonoma De Buenos Aires,Av. Rivadavia 5973,-34.623596,-58.449251,Caballito,Supermercado
