,idSucursal,comercioId,banderaId,banderaDescripcion,comercioRazonSocial,provincia,localidad,direccion,lat,lng,sucursalNombre,sucursalTipo
1451,5252,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Mosconi 3073,-34.5876628,-58.5045122,5252 - Villa Pueyrredon,Autoservicio
1452,5253,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Cuenca 2462,-34.6072943,-58.4903978,5253 - Villa Del Parque,Autoservicio
1453,526,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Cordoba 4379,-34.595594,-58.427785,526 - Palermo,Autoservicio
1454,5267,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Nazca 2325,-34.6085744,-58.4836744,5267 - Villa Del Parque,Autoservicio
1455,527,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Cordoba 4667,-34.593583,-58.430572,527 - Palermo,Autoservicio
1456,5270,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Fernandez De La Cruz 6154,-34.685129,-58.472697,5270 - Villa Riachuelo,Autoservicio
1457,5271,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Jose C Paz 2965,-34.643917,-58.403469,5271 - Parque Patricios,Autoservicio
1458,5276,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Jujuy 346,-34.613952000000005,-58.405107,5276 - Balvanera,Autoservicio
1459,5278,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Teniente General Luis Dellepiane 5440,-34.672211,-58.475935,5278 - Villa Lugano,Autoservicio
1460,528,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Gallo 720,-34.601174,-58.412809,528 - Almagro,Autoservicio
1461,5283,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Rio Cuarto 3958,-34.653559,-58.404483,5283 - Pompeya,Autoservicio
1462,5287,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Nogoya 3527,-34.605713,-58.496709,5287 - Villa Del Parque,Autoservicio
1463,5288,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Francisco Beiro 4567,-34.607479999999995,-58.51464300000001,5288 - Villa Devoto,Autoservicio
1464,529,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Nogoya 5089,-34.62522,-58.526701,529 - Villa Real,Autoservicio
1465,53,15,1,Supermercados Dia,Dia Argentina S.A,Ar-B,Isidro Casanova,Cl Cristiania 1400,-34.6927276,-58.6077235,53 - Isidro Casanova,Autoservicio
1466,530,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av Riestra 5398,-34.674477,-58.47189,530 - Villa Lugano,Autoservicio
1467,532,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Av San Juan 1261,-34.622075,-58.383908,532 - Constitucion,Autoservicio
1468,535,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Olazabal 4324,-34.572029,-58.477695,535 - Villa Urquiza,Autoservicio
1469,536,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Gral.Gregorio Araoz De Lamadrid 728,-34.63899,-58.362526,536 - La Boca,Autoservicio
1470,537,15,1,Supermercados Dia,Dia Argentina S.A,Ar-C,Capital Federal,Jeronimo Salguero 3044,-34.577265000000004,-58.405981,537 - Palermo,Autoservicio
